title,votes,timestamp
"""Сквер «Обнаженные сердца» на Талом озере""",40,25-04-2025 15:53:45
"""Сквер им. Ю.А. Гагарина""",70,25-04-2025 15:53:39
"""Сквер ""Вечная память воинам-якутянам, павшим под г. Ржев в 1941-1943 г.""",113,25-04-2025 15:53:40
"""Набережная озера Теплое""",407,25-04-2025 15:53:41
"""Набережная озера Щорса""",50,25-04-2025 15:53:42
"""Набережная Белое Озеро""",57,25-04-2025 15:53:43
"""Сквер Строителей""",32,25-04-2025 15:53:43
"""Набережная озера Сэргэллэх""",45,25-04-2025 15:53:44
"""Сквер «Обнаженные сердца» на Талом озере""",40,25-04-2025 15:53:45
"""Сквер им. Ю.А. Гагарина""",70,25-04-2025 16:30:19
"""Сквер ""Вечная память воинам-якутянам, павшим под г. Ржев в 1941-1943 г.""",113,25-04-2025 16:30:20
"""Набережная озера Теплое""",407,25-04-2025 16:30:22
"""Набережная озера Щорса""",50,25-04-2025 16:30:24
"""Набережная Белое Озеро""",57,25-04-2025 16:30:24
"""Сквер Строителей""",32,25-04-2025 16:30:25
"""Набережная озера Сэргэллэх""",45,25-04-2025 16:30:26
"""Сквер «Обнаженные сердца» на Талом озере""",40,25-04-2025 16:30:27
"""Сквер им. Ю.А. Гагарина""",70,25-04-2025 16:30:19
"""Сквер ""Вечная память воинам-якутянам, павшим под г. Ржев в 1941-1943 г.""",113,25-04-2025 16:30:20
"""Набережная озера Теплое""",407,25-04-2025 16:30:22
"""Набережная озера Щорса""",50,25-04-2025 16:30:24
"""Набережная Белое Озеро""",57,25-04-2025 16:30:24
"""Сквер Строителей""",32,25-04-2025 16:30:25
"""Набережная озера Сэргэллэх""",45,25-04-2025 16:30:26
"""Сквер «Обнаженные сердца» на Талом озере""",40,25-04-2025 16:30:27
